Model,training_configs.random_seed,train_ratio,test/pearson,test/rmse,test/spearman,
BALM,12,0.3,0.682976604,1.09277904,0.665187512,
BALM,12,0.2,0.638366282,1.130907416,0.612052412,
BALM,12,0.1,0.460941553,1.346922278,0.514056439,
BALM,123,0.3,0.673460126,1.081735015,0.640140048,
BALM,123,0.2,0.661613584,1.107367992,0.620319929,
BALM,1234,0.3,0.657918513,1.103488088,0.613106328,
BALM,1234,0.1,0.457335532,1.29953146,0.452656044,
BALM,123,0.1,0.535344005,1.281878591,0.492135108,
BALM,1234,0.2,0.581057787,1.198377132,0.548457076,
GP,1234,0.1,0.35184770805849797,0.931894302,0.4031115276478303,
GP,123,0.1,0.3281329706591525,0.9475541710853576,0.3659707271170817,
GP,12,0.1,0.3832046394822812,0.936056376,0.4195800116408382,
GP,1234,0.2,0.3945913915747248,0.91379869,0.419072858,
GP,123,0.2,0.37514887315549833,0.9306964874267578,0.38795005194369986,
GP,12,0.2,0.3964512590198653,0.914350688,0.4261398071496798,
GP,1234,0.3,0.3760609292142575,0.9235376715660096,0.3980442733886801,
GP,123,0.3,0.40329060223438234,0.925081193,0.41628705712502134,
GP,12,0.3,0.4009848964212876,0.9123653173446656,0.4283066165561144,