,Model,Split,Metric,Value
0,Baseline,Random,CI,0.6463733911514282
1,Baseline,Random,CI,0.6298884749412537
2,Baseline,Random,CI,0.6411072611808777
3,BALM,Random,CI,0.7153233885765076
4,BALM,Random,CI,0.7225912809371948
5,BALM,Random,CI,0.72820276
6,BALM+PEFT,Random,CI,0.7665324807167053
7,BALM+PEFT,Random,CI,0.7760869264602661
8,BALM+PEFT,Random,CI,0.773025393
9,Baseline,Cold Target,CI,0.5996206998825073
10,Baseline,Cold Target,CI,0.554906428
11,Baseline,Cold Target,CI,0.6155155301094055
12,BALM,Cold Target,CI,0.6628000736236572
13,BALM,Cold Target,CI,0.6549109220504761
14,BALM,Cold Target,CI,0.6550305485725403
15,BALM+PEFT,Cold Target,CI,0.6610763669013977
16,BALM+PEFT,Cold Target,CI,0.6824727654457092
17,BALM+PEFT,Cold Target,CI,0.6828943490982056
18,Baseline,Cold Drug,CI,0.6018701791763306
19,Baseline,Cold Drug,CI,0.5698878765106201
20,Baseline,Cold Drug,CI,0.6348273754119873
21,BALM,Cold Drug,CI,0.6995190382003784
22,BALM,Cold Drug,CI,0.6602440476417542
23,BALM,Cold Drug,CI,0.7238731384277344
24,BALM+PEFT,Cold Drug,CI,0.7169374823570251
25,BALM+PEFT,Cold Drug,CI,0.7568638324737549
26,BALM+PEFT,Cold Drug,CI,0.7529231905937195
27,Baseline,Scaffold,CI,0.5578457713127136
28,Baseline,Scaffold,CI,0.576934814
29,Baseline,Scaffold,CI,0.5933981537818909
30,BALM,Scaffold,CI,0.6445052623748779
31,BALM,Scaffold,CI,0.7077906727790833
32,BALM,Scaffold,CI,0.6805819869041443
33,BALM+PEFT,Scaffold,CI,0.7191786766052246
34,BALM+PEFT,Scaffold,CI,0.7479329109191895
35,BALM+PEFT,Scaffold,CI,0.7385496497154236
36,Baseline,Random,Pearson,0.4711291193962097
37,Baseline,Random,Pearson,0.4424060583114624
38,Baseline,Random,Pearson,0.4686437547206878
39,BALM,Random,Pearson,0.6625356674194336
40,BALM,Random,Pearson,0.6647419333457947
41,BALM,Random,Pearson,0.6711962223052979
42,BALM+PEFT,Random,Pearson,0.7632417678833008
43,BALM+PEFT,Random,Pearson,0.7759580612182617
44,BALM+PEFT,Random,Pearson,0.7670727372169495
45,Baseline,Cold Target,Pearson,0.3031839728355407
46,Baseline,Cold Target,Pearson,0.1430290341377258
47,Baseline,Cold Target,Pearson,0.3283511400222778
48,BALM,Cold Target,Pearson,0.5356475114822388
49,BALM,Cold Target,Pearson,0.5085477232933044
50,BALM,Cold Target,Pearson,0.5666860938072205
51,BALM+PEFT,Cold Target,Pearson,0.5187820792198181
52,BALM+PEFT,Cold Target,Pearson,0.5826476216316223
53,BALM+PEFT,Cold Target,Pearson,0.5836609601974487
54,Baseline,Cold Drug,Pearson,0.3392518758773803
55,Baseline,Cold Drug,Pearson,0.2557114362716675
56,Baseline,Cold Drug,Pearson,0.444908082
57,BALM,Cold Drug,Pearson,0.6506296396255493
58,BALM,Cold Drug,Pearson,0.547075629
59,BALM,Cold Drug,Pearson,0.6719734072685242
60,BALM+PEFT,Cold Drug,Pearson,0.680316687
61,BALM+PEFT,Cold Drug,Pearson,0.7564829587936401
62,BALM+PEFT,Cold Drug,Pearson,0.7341355085372925
63,Baseline,Scaffold,Pearson,0.2175713777542114
64,Baseline,Scaffold,Pearson,0.279788077
65,Baseline,Scaffold,Pearson,0.3193907737731933
66,BALM,Scaffold,Pearson,0.4612961411476135
67,BALM,Scaffold,Pearson,0.596150279
68,BALM,Scaffold,Pearson,0.5781638622283936
69,BALM+PEFT,Scaffold,Pearson,0.6609435677528381
70,BALM+PEFT,Scaffold,Pearson,0.701295018
71,BALM+PEFT,Scaffold,Pearson,0.705856204
72,Baseline,Random,Spearman,0.4213545661050425
73,Baseline,Random,Spearman,0.3758589793948646
74,Baseline,Random,Spearman,0.4033128734434392
75,BALM,Random,Spearman,0.5958654542382648
76,BALM,Random,Spearman,0.610120107
77,BALM,Random,Spearman,0.6248156407897199
78,BALM+PEFT,Random,Spearman,0.7121398206336983
79,BALM+PEFT,Random,Spearman,0.7349324232435359
80,BALM+PEFT,Random,Spearman,0.7235447114173567
81,Baseline,Cold Target,Spearman,0.2911783830709921
82,Baseline,Cold Target,Spearman,0.1665414769347655
83,Baseline,Cold Target,Spearman,0.3315933209135553
84,BALM,Cold Target,Spearman,0.4631000880789896
85,BALM,Cold Target,Spearman,0.4385048799847622
86,BALM,Cold Target,Spearman,0.4389908803651816
87,BALM+PEFT,Cold Target,Spearman,0.4566466498636906
88,BALM+PEFT,Cold Target,Spearman,0.5150928574600833
89,BALM+PEFT,Cold Target,Spearman,0.5175705337073093
90,Baseline,Cold Drug,Spearman,0.2954233692780399
91,Baseline,Cold Drug,Spearman,0.2072027926878416
92,Baseline,Cold Drug,Spearman,0.388251343
93,BALM,Cold Drug,Spearman,0.5544381938638493
94,BALM,Cold Drug,Spearman,0.4539131242516587
95,BALM,Cold Drug,Spearman,0.6128833049391617
96,BALM+PEFT,Cold Drug,Spearman,0.5963764883436541
97,BALM+PEFT,Cold Drug,Spearman,0.6901156976552629
98,BALM+PEFT,Cold Drug,Spearman,0.6786814388168192
99,Baseline,Scaffold,Spearman,0.1692023738636124
100,Baseline,Scaffold,Spearman,0.2256063106048623
101,Baseline,Scaffold,Spearman,0.2798062666636364
102,BALM,Scaffold,Spearman,0.4065334648026603
103,BALM,Scaffold,Spearman,0.5840707228031229
104,BALM,Scaffold,Spearman,0.5024017655481025
105,BALM+PEFT,Scaffold,Spearman,0.6004436257685231
106,BALM+PEFT,Scaffold,Spearman,0.6703075772685124
107,BALM+PEFT,Scaffold,Spearman,0.6530170849573901
108,Baseline,Random,RMSE,1.4247208833694458
109,Baseline,Random,RMSE,1.4700676202774048
110,Baseline,Random,RMSE,1.4782719612121582
111,BALM,Random,RMSE,1.1694743633270264
112,BALM,Random,RMSE,1.1587706804275513
113,BALM,Random,RMSE,1.1385135650634766
114,BALM+PEFT,Random,RMSE,1.018641471862793
115,BALM+PEFT,Random,RMSE,0.982359767
116,BALM+PEFT,Random,RMSE,0.9848302602767944
117,Baseline,Cold Target,RMSE,1.551583170890808
118,Baseline,Cold Target,RMSE,1.5425444841384888
119,Baseline,Cold Target,RMSE,1.477536916732788
120,BALM,Cold Target,RMSE,1.277779221534729
121,BALM,Cold Target,RMSE,1.3878014087677002
122,BALM,Cold Target,RMSE,1.3275235891342163
123,BALM+PEFT,Cold Target,RMSE,1.3036361932754517
124,BALM+PEFT,Cold Target,RMSE,1.3233022689819336
125,BALM+PEFT,Cold Target,RMSE,1.3054723739624023
126,Baseline,Cold Drug,RMSE,1.490009307861328
127,Baseline,Cold Drug,RMSE,1.388378620147705
128,Baseline,Cold Drug,RMSE,1.5040085315704346
129,BALM,Cold Drug,RMSE,1.165027379989624
130,BALM,Cold Drug,RMSE,1.2115907669067385
131,BALM,Cold Drug,RMSE,1.1807122230529783
132,BALM+PEFT,Cold Drug,RMSE,1.054824709892273
133,BALM+PEFT,Cold Drug,RMSE,1.0081743001937866
134,BALM+PEFT,Cold Drug,RMSE,1.0916645526885986
135,Baseline,Scaffold,RMSE,1.4334794282913208
136,Baseline,Scaffold,RMSE,1.476860523223877
137,Baseline,Scaffold,RMSE,1.672099471092224
138,BALM,Scaffold,RMSE,1.3212716579437256
139,BALM,Scaffold,RMSE,1.3953782320022583
140,BALM,Scaffold,RMSE,1.223523974
141,BALM+PEFT,Scaffold,RMSE,1.095119595527649
142,BALM+PEFT,Scaffold,RMSE,1.2222188711166382
143,BALM+PEFT,Scaffold,RMSE,1.0697373151779177
